Address,Name,Balance,TxCount
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex_KNC,5.71440259 Ether,1199
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex_LOOM,4.07745757 Ether,1536
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex_MANA,7.18875123 Ether,1174
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex_NXC,8.98593140 Ether,26892
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex_OMG,9.41458740 Ether,48072
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex_REP,7.08242182 Ether,93451
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex_SNT,12.74355401 Ether,1479
0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex_STORJ,4.91208606 Ether,23868
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex_USDC,6.50146315 Ether,12614
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex_ZRX,4.56662323 Ether,82259
0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano,625.41526278 Ether,78455
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift_1,21.28576604 Ether,67303
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift_2,0.00068755 Ether,103239
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift_3,"3,867.61779101 Ether",2237299
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift_4,366.16775432 Ether,367923
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift_5,455.39992192 Ether,346672
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift_6,589.57811474 Ether,345878
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift_7,502.15585299 Ether,368321
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,"1,073.34616472 Ether",19457
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,15.51401268 Ether,999328
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi_1,871.34452295 Ether,440587
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Yunbi_2,"3,262.02104044 Ether",250307
0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi_3,161.71247043 Ether,7958
